Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Yeremi Pino,es ESP,MF,22,4,3,221.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,1.8,5.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.44,0.3,0.75,0.44,0.75,Matches,Crystal-Palace
Jefferson Lerma,co COL,MF,30,6,1,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.28,0.26,0.28,Matches,Crystal-Palace
Justin Devenny,nir NIR,"MF,FW",21,6,1,146.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.15,0.08,0.15,Matches,Crystal-Palace
Eberechi Eze,eng ENG,MF,27,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches,Crystal-Palace
Eddie Nketiah,eng ENG,MF,26,2,0,32.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,0.0,1.0,1.0,2.81,0.0,2.81,2.81,2.81,1.72,0.34,2.06,1.72,2.06,Matches,Crystal-Palace
Romain Esse,eng ENG,FW,20,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Christantus Uche,ng NGA,MF,22,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Crystal-Palace
Nathaniel Clyne,eng ENG,DF,34,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Odsonne Édouard,fr FRA,FW,27,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Walter Benítez,ar ARG,GK,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Jaydee Canvot,fr FRA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Rio Cardines,tt TRI,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Remi Matthews,eng ENG,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Jesurun Rak Sakyi,eng ENG,"FW,MF",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Kaden Rodney,eng ENG,"DF,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Borna Sosa,hr CRO,"DF,MF",27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Squad Total,,,26,6,66,540.0,6.0,8.0,3.0,11.0,7.0,1.0,1.0,14.0,0.0,11.2,10.4,7.8,18.2,62.0,176.0,174.0,1.33,0.5,1.83,1.17,1.67,1.86,1.3,3.16,1.73,3.03,,Crystal-Palace
Opponent Total,,,26,6,66,540.0,6.0,3.0,2.0,5.0,3.0,0.0,0.0,14.0,0.0,6.7,6.7,5.0,11.7,98.0,289.0,287.0,0.5,0.33,0.83,0.5,0.83,1.12,0.84,1.95,1.12,1.95,,Crystal-Palace
Cristian Romero,ar ARG,DF,27,6,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.2,2.0,28.0,0.0,0.0,0.17,0.17,0.0,0.17,0.02,0.03,0.04,0.02,0.04,Matches,Tottenham-Hotspur
Guglielmo Vicario,it ITA,GK,28,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Mohammed Kudus,gh GHA,FW,25,6,6,529.0,5.9,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.8,2.8,20.0,13.0,51.0,0.0,0.51,0.51,0.0,0.51,0.17,0.31,0.48,0.17,0.48,Matches,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,24,6,6,529.0,5.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,4.0,18.0,2.0,0.17,0.0,0.17,0.17,0.17,0.12,0.02,0.13,0.12,0.13,Matches,Tottenham-Hotspur
Pedro Porro,es ESP,DF,26,6,5,457.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,13.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,0.16,0.02,0.16,Matches,Tottenham-Hotspur
Richarlison,br BRA,FW,28,6,5,437.0,4.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,0.8,2.4,7.0,9.0,17.0,0.62,0.21,0.82,0.62,0.82,0.33,0.16,0.49,0.33,0.49,Matches,Tottenham-Hotspur
João Palhinha,pt POR,MF,30,6,5,423.0,4.7,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.5,1.0,14.0,6.0,0.43,0.0,0.43,0.43,0.43,0.09,0.01,0.1,0.09,0.1,Matches,Tottenham-Hotspur
Djed Spence,eng ENG,DF,25,6,5,403.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,18.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Tottenham-Hotspur
Lucas Bergvall,se SWE,MF,19,6,4,365.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.3,0.8,9.0,17.0,23.0,0.25,0.25,0.49,0.25,0.49,0.14,0.06,0.2,0.14,0.2,Matches,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,23,5,4,358.0,4.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,4.0,12.0,14.0,0.25,0.5,0.75,0.25,0.75,0.08,0.13,0.21,0.08,0.21,Matches,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,28,5,4,321.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,3.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.07,0.01,0.07,Matches,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,24,6,3,268.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,8.0,6.0,18.0,0.67,0.0,0.67,0.67,0.67,0.3,0.06,0.36,0.3,0.36,Matches,Tottenham-Hotspur
Destiny Udogie,it ITA,DF,22,4,2,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,13.0,16.0,24.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Tottenham-Hotspur
Xavi Simons,nl NED,"FW,MF",22,3,2,177.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.5,0.8,12.0,13.0,14.0,0.0,0.51,0.51,0.0,0.51,0.15,0.26,0.41,0.15,0.41,Matches,Tottenham-Hotspur
